year,title,description
"2022","10th Annual JAGS and Stan Workshop: Bayesian Modeling for Cognitive Science","Together with L Lengersdorff, F Aust, A Sarafoglou, M Villarreal, L Montgomery, J Petter, Š Kucharský, A Stefan, J van Doorn, M Lee, and EJ Wagenmakers, part of the organizing committee for the one-week workshop. The workshop took place August 22-26, 2022, in Amsterdam, the Netherlands, and attracted 25 participants."
"2022","8th Annual JASP Workshop: Theory and Practice of Bayesian Hypothesis Testing","Together with L Lengersdorff, F Aust, A Sarafoglou, J Petter, S Kucharský, A Stefan, D van den Bergh, R Morey, and Eric-Jan Wagenmakers, part of the organizing committee for the two-day workshop. The hybrid workshop took place August 29-30, 2022 and attracted 55 participants."
"2023","11th Annual JAGS and Stan Workshop: Bayesian Modeling for Cognitive Science","Together with F Aust, C Guazzone, M Villarreal, L Montgomery, Š Kucharský, D van den Bergh, J van Doorn, M Lee, and EJ Wagenmakers, part of the organizing committee for the one-week workshop. The workshop took place July 10-14, 2023, in Amsterdam, the Netherlands, and attracted 37 participants."
"2023","9th Annual JASP Workshop: Theory and Practice of Bayesian Hypothesis Testing","Together with F Aust, C Guazzone, Š Kucharský, J van Doorn, R Morey, and EJ Wagenmakers, part of the organizing committee for the two-day workshop. The hybrid workshop took place July 15-16, 2023, and attracted 55 participants."
"2024","12th Annual JAGS and Stan Workshop: Bayesian Modeling for Cognitive Science","Together with H Godmann, M Lee, and EJ Wagenmakers, part of the organizing committee for the one-week workshop. The workshop took place July 8-12, 2024, in Amsterdam, the Netherlands, and attracted 20 participants."
"2024","10th Annual JASP Workshop: Theory and Practice of Bayesian Hypothesis Testing","Together with H Godmann, R Morey, and EJ Wagenmakers part of the organizing committee for the two-day workshop. The hybrid workshop took place July 15-16, 2024, and attracted 47 participants."
"2025","Journal of Robustness Reports","Together with A Sarafoglou, B Aczel, S Hoogeveen, C Chambers, and EJ Wagenmakers, founded the diamond open access Journal of Robustness Reports (https://scipost.org/JRobustRep/about). Fellow of the Editorial College for the Journal of Robustness Reports, 2025-present."
"2025","11th Annual JASP Workshop: Theory and Practice of Bayesian Hypothesis Testing","Together with H Godmann, R Morey, and EJ Wagenmakers, part of the organizing committee for the two-day workshop. The hybrid workshop is scheduled to take place July 3-4, 2025."
"2025","A Crash Course in Machine Learning with JASP","Together with Henrik Godmann, D van den Bergh, K Derks, and EJ Wagenmakers, part of the organizing committee for the workshop. The hybrid workshop is scheduled to take place July 2, 2025."
"2025","State-of-the-Art Meta-Analysis using JASP","Together with H Godmann and EJ Wagenmakers, part of the organizing committee for the workshop. The hybrid workshop is scheduled to take place July 1, 2025."
"2025","Discovering Statistics using JASP","Together with H Godmann, J van Doorn, and EJ Wagenmakers part of the organizing committee for the workshop. The hybrid workshop is scheduled to take place June 30, 2025."
