year,title,conference,place
"2018","Recognition of abilities in random noise: People are willing to pay for the illusion of success","Prague Conference on Behavioral Sciences","Prague"
"2019","A minority deliberately cheats for one's own and other's benefit: An investigation of dicehonesty using mouse tracking","Prague Conference on Behavioral Sciences","Prague"
"2019","Jak měřit podobnost fotografií pomocí neuronových sítí?","Kognitivní škola","Malá Skála"
"2021","Robust Bayesian meta-analysis: A framework for addressing publication bias with model-averaging","Seminar in psychometrics","Prague"
"2021","No need to choose: Extending robust Bayesian meta-analysis by model-averaging across different publication selection models","Quantitative Analysis of Publication Bias","Konstanz"
"2021","Extending RoBMA with PET-PEESE: Mitigating publication bias with Bayesian model averaging","International Meeting of Psychometric Society","Online"
"2021","No need to choose: Robust Bayesian meta-analysis","MAER-NET","Piraeus"
"2022","Adjusting for publication bias with Bayesian model-averaging and the RoBMA R package","ESMARConf","Online"
"2022","Tutorial on robust Bayesian meta-analysis in JASP and R","MAER-NET","Kyoto"
"2023","Adjusting for Risk of Bias in medical meta-analyses: A large-scale analysis of Cochrane Database of Systematic Reviews","Society for Research Synthesis Methodology","Paris"
"2023","Robust Bayesian meta-regression: Publication bias adjusted moderator analysis","MathPsych/ICCM/EMPG","Amsterdam"
"2023","Bayesian location-scale model for assessing reliability differences with ordinal ratings","International Meeting of Psychometric Society","Baltimore"
"2023","Exploring open science practices in behavioural public policy research","MAER-NET","Palma de Mallorca"
"2024","Bayesian model-averaged analysis of 350,757 coin flips","Joint Statistical Meeting","Portland"
"2024","Meta-analysis with JASP","Society for Research Synthesis Methodology","Amsterdam"
"2025","Fast and efficient robust Bayesian meta-analysis with spike-and-slab priors","Society for Research Synthesis Methodology","Madison"
"2025","Fast and efficient robust Bayesian meta-analysis with spike-and-slab priors","International Meeting of Psychometric Society","Minneapolis"
