when,title,details,where
2021,Bayesian meta-analysis with JASP,,DE-PASS; online
2022,Robust Bayesian meta-analysis,,University of Groningen; online
2022,Informed Bayesian (model-averaged) survival analysis,,International Society For Clinical Biostatistics: ČR; online
2023,Accounting for publication bias with robust Bayesian meta-analysis,Statistical and Machine Learning Approaches for the Social Sciences,University of Washington; online
2023,"Analyzing data with JASP: A free, open-source, and user-friendly statistical software",,"Department of Statistics, Texas A\&M College Station"
2024,"Analyzing data with JASP: A free, open-source, and user-friendly statistical software",Methods for Evidence Synthesis Salon,University of Bristol; online
2025,Ig Nobel night,,"EPFL, Lausanne"
2025,Ig Nobel night,,"Nemo, Amsterdam"
2025,Bayesian methods workshop,Statistics \& Methodology Platform,"Swiss Clinical Trial Organisation (SCTO), Bern"
2025,"Bayesian hypothesis testing: Concepts, benefits, and practical implementation",Seminar in Advanced Research Methods,"Department of Psychology, Princeton \href{https://princeton.zoom.us/rec/share/Sfeuxq_gcHWQH7wktYydjZytlNvQTx7yrRVjl0fcf8sCG7251CQDAI7QJX2j5K0Z.ajG6QNxxHiSgkWWu}{[recording]}"
2026,"Publication bias, robust Bayesian meta-analysis, and the effect of exercise on cognition",Department of Biological Psychology,"Vrije Universiteit Amsterdam, Amsterdam"
2026,State-of-the-art meta analysis with JASP,Society and Choice PhD Program ,"University of Basel, Basel"
